                List of relations
 Schema |         Name         | Type  |  Owner   
--------+----------------------+-------+----------
 public | accepted_rides_1635  | table | postgres
 public | accepted_rides_1645  | table | postgres
 public | accepted_rides_1651  | table | postgres
 public | accounts_1454        | table | postgres
 public | accounts_1843        | table | postgres
 public | accounts_1907        | table | postgres
 public | actions_1113         | table | postgres
 public | actions_1132         | table | postgres
 public | activities_1355      | table | postgres
 public | activities_1484      | table | postgres
 public | activities_3056      | table | postgres
 public | activity_1097        | table | postgres
 public | activity_1141        | table | postgres
 public | activity_1142        | table | postgres
 public | activity_1661        | table | postgres
 public | activity_511         | table | postgres
 public | activity_534         | table | postgres
 public | activity_550         | table | postgres
 public | activity_550_tc_2    | table | postgres
 public | actor_director_1050  | table | postgres
 public | address_175          | table | postgres
 public | ads_1322             | table | postgres
 public | ads_1809             | table | postgres
 public | age_3056             | table | postgres
 public | amz                  | table | postgres
 public | bonus_577            | table | postgres
 public | books_1098           | table | postgres
 public | boxes_1715           | table | postgres
 public | buses_2142           | table | postgres
 public | buses_2153           | table | postgres
 public | california_2072      | table | postgres
 public | calls_1501           | table | postgres
 public | calls_1699           | table | postgres
 public | calls_1972           | table | postgres
 public | calls_2984           | table | postgres
 public | candidate_574        | table | postgres
 public | candidates_2004      | table | postgres
 public | candidates_2004_tc_2 | table | postgres
 public | candidates_2010      | table | postgres
 public | candidates_2010_tc_2 | table | postgres
 public | candidates_2041      | table | postgres
 public | candidates_3278      | table | postgres
 public | championships_1783   | table | postgres
 public | chargebacks_1205     | table | postgres
 public | chests_1715          | table | postgres
 public | cinema_603           | table | postgres
 public | cinema_620           | table | postgres
 public | coffee_shop_2388     | table | postgres
 public | company_607          | table | postgres
 public | confirmations_1934   | table | postgres
 public | confirmations_1939   | table | postgres
 public | contacts_1364        | table | postgres
 public | content_1495         | table | postgres
 public | contests_1811        | table | postgres
 public | coordinates_2978     | table | postgres
 public | countries_1294       | table | postgres
 public | country_1501         | table | postgres
 public | courses_596          | table | postgres
 public | customer_1045        | table | postgres
 public | customer_1321        | table | postgres
 public | customer_2372        | table | postgres
 public | customer_584         | table | postgres
 public | customers_1364       | table | postgres
 public | customers_1398       | table | postgres
 public | customers_1511       | table | postgres
 public | customers_1532       | table | postgres
 public | customers_1549       | table | postgres
 public | customers_1596       | table | postgres
 public | customers_1607       | table | postgres
 public | customers_1613       | table | postgres
 public | customers_1821       | table | postgres
 public | customers_183        | table | postgres
 public | daily_sales_1693     | table | postgres
 public | data_2159            | table | postgres
 public | days_1853            | table | postgres
 public | delivery_1173        | table | postgres
 public | delivery_1174        | table | postgres
 public | delivery_2686        | table | postgres
 public | department_1179      | table | postgres
 public | department_184       | table | postgres
 public | department_185       | table | postgres
 public | department_580       | table | postgres
 public | departments_1350     | table | postgres
 public | drivers_1635         | table | postgres
 public | drivers_1645         | table | postgres
 public | drivers_1651         | table | postgres
 public | emp_name             | table | postgres
 public | employee_1075        | table | postgres
 public | employee_1077        | table | postgres
 public | employee_1303        | table | postgres
 public | employee_1378        | table | postgres
 public | employee_1789        | table | postgres
 public | employee_181         | table | postgres
 public | employee_184         | table | postgres
 public | employee_185         | table | postgres
 public | employee_569         | table | postgres
 public | employee_570         | table | postgres
 public | employee_577         | table | postgres
 public | employee_579         | table | postgres
 public | employee_615         | table | postgres
 public | employee_uni_1378    | table | postgres
 public | employees_1270       | table | postgres
 public | employees_1731       | table | postgres
 public | employees_1741       | table | postgres
 public | employees_1873       | table | postgres
 public | employees_1875       | table | postgres
 public | employees_1965       | table | postgres
 public | employees_1978       | table | postgres
 public | employees_2394       | table | postgres
 public | employees_2988       | table | postgres
 public | enrollments_1112     | table | postgres
 public | events_1126          | table | postgres
 public | exam_1988            | table | postgres
 public | examinations_1280    | table | postgres
 public | exams_1412           | table | postgres
 public | executed_1767        | table | postgres
 public | experiments_1990     | table | postgres
 public | expressions_1440     | table | postgres
 public | failed_1225          | table | postgres
 public | files_2738           | table | postgres
 public | flights_2112         | table | postgres
 public | flights_2112_tc_2    | table | postgres
 public | flights_2783         | table | postgres
 public | follow_614           | table | postgres
 public | followers_1729       | table | postgres
 public | fraud_3055           | table | postgres
 public | friend_request_597   | table | postgres
 public | friends_1355         | table | postgres
 public | friends_3058         | table | postgres
 public | friendship_1264      | table | postgres
 public | friendship_1892      | table | postgres
 public | friendship_1917      | table | postgres
 public | friendship_1919      | table | postgres
 public | friendship_1949      | table | postgres
 public | genders_2308         | table | postgres
 public | groups               | table | postgres
 public | insurance_585        | table | postgres
 public | invoice_1677         | table | postgres
 public | invoices_1364        | table | postgres
 public | items_1158           | table | postgres
 public | items_1159           | table | postgres
 public | items_1479           | table | postgres
 public | items_2922           | table | postgres
 public | keywords_2199        | table | postgres
 public | likes_1264           | table | postgres
 public | likes_1892           | table | postgres
 public | listens_1917         | table | postgres
 public | listens_1919         | table | postgres
 public | log_info_1747        | table | postgres
 public | logins_1454          | table | postgres
 public | logins_1890          | table | postgres
 public | logs_1285            | table | postgres
 public | logs_180             | table | postgres
 public | logs_2394            | table | postgres
 public | matches_1194         | table | postgres
 public | matches_1212         | table | postgres
 public | matches_1841         | table | postgres
 public | matches_2173         | table | postgres
 public | matches_2173_tc_2    | table | postgres
 public | members_2051         | table | postgres
 public | movie_rating_1341    | table | postgres
 public | movies_1341          | table | postgres
 public | newyork_2072         | table | postgres
 public | npv_1421             | table | postgres
 public | number_619           | table | postgres
 public | number_619_tc_2      | table | postgres
 public | numbers_571          | table | postgres
 public | numbers_571_tc_2     | table | postgres
 public | olympic_2377         | table | postgres
 public | orders_1098          | table | postgres
 public | orders_1158          | table | postgres
 public | orders_1159          | table | postgres
 public | orders_1327          | table | postgres
 public | orders_1398          | table | postgres
 public | orders_1479          | table | postgres
 public | orders_1511          | table | postgres
 public | orders_1532          | table | postgres
 public | orders_1549          | table | postgres
 public | orders_1565          | table | postgres
 public | orders_1596          | table | postgres
 public | orders_1607          | table | postgres
 public | orders_183           | table | postgres
 public | orders_2084          | table | postgres
 public | orders_2292          | table | postgres
 public | orders_2893          | table | postgres
 public | orders_2922          | table | postgres
 public | orders_586           | table | postgres
 public | orders_607           | table | postgres
